element,level,t,r,theta,phi,Interval size,Height,D
7464,14,7.233899306660076,1.1269154368198608,2.9886820384192374,1.7363522274767758,7854,10,4
7486,14,7.272834645980564,1.2396977442520236,0.7219311681281596,2.4891088896848186,7854,10,4
7490,14,7.274972346746523,0.6475219438137544,1.132878943948195,1.6263420740881582,7854,10,4
7509,14,7.308432837903899,1.2828817456191144,2.8972086434669833,2.318179889897623,7854,10,4
7534,14,7.354429441053803,1.2210596634618953,-2.9766719587713184,1.9839196344422165,7854,10,4
7561,14,7.393766189976745,0.6153918416846557,-2.3281642573220234,2.27893072605657,7854,10,4
7584,14,7.4538863625501595,1.046144240364263,-1.7129012201141038,2.039523755261998,7854,10,4
7595,14,7.484089730350893,1.4146264131374322,1.8514994864319432,2.723325175857667,7854,10,4
7603,14,7.504282483771954,1.1420654287741732,2.6759065221797274,1.176382356609845,7854,10,4
7633,14,7.57990756343594,0.8397171469531571,2.080461098723774,1.6637540788293923,7854,10,4
7648,14,7.625143600823565,0.9860963092938213,-1.3841534292309263,2.0063837113821035,7854,10,4
7662,14,7.663173921269824,0.5645040038653723,-1.227431053486471,0.7853253916944881,7854,10,4
7726,14,7.893645853315973,0.7517581107154201,2.063274518198875,0.21175743856425136,7854,10,4
7583,15,7.452229772969177,1.4244495257036147,-0.9646322977735147,2.59730012631895,7854,10,4
7676,15,7.720643922744328,0.900223345397378,1.0661976811441698,1.5212982320111141,7854,10,4
7678,15,7.723188369021128,0.6618818542144544,1.2988633778787086,1.378734877480531,7854,10,4
7690,15,7.750605926457443,1.083525015137053,0.6001664720762488,2.195722047864085,7854,10,4
7701,15,7.785648876586194,0.8311732093773107,0.7091715791166556,2.30649851091952,7854,10,4
7714,15,7.847609714579314,0.8647102308453936,2.53385977576141,2.323721647246891,7854,10,4
7724,15,7.886864992322257,1.2052215575493355,-2.8472267112629384,2.138864566145207,7854,10,4
7731,15,7.911076822085899,1.054899181574646,2.750359186275198,1.5195308686303879,7854,10,4
7734,15,7.922219435991618,0.6944652349739774,0.44535029652015123,2.6159547226058177,7854,10,4
7741,15,7.966792482698912,0.46583329725658007,-1.3513452685184701,0.8208280248584487,7854,10,4
7751,15,8.038517851407633,0.32577366254336615,1.6884326523294397,1.3289034784955867,7854,10,4
7753,15,8.041800595402929,1.1787586762306557,-1.46500658444371,1.6549291561416295,7854,10,4
7767,15,8.108545251155645,0.462680965141073,-1.7779313195118596,1.365094809026243,7854,10,4
7769,15,8.119060889528146,0.5087458794805801,-1.9013324946676156,1.7624747315200755,7854,10,4
7770,15,8.132597932350338,0.6268784988141118,-1.4117596287803817,2.187137504988536,7854,10,4
7774,15,8.14069287086315,1.2268897469518378,2.2872275281860452,2.5213438662978165,7854,10,4
7780,15,8.186233530816047,0.39240169694326543,2.284016680082703,1.8875009056030672,7854,10,4
7790,15,8.26499313323209,0.3286226930908815,-3.0046909760672933,0.678199931391378,7854,10,4
7802,15,8.3864127845804,0.6416695950250925,2.0943871088378962,0.3045442347639508,7854,10,4
7788,16,8.24718993504998,0.7308861003787289,1.473777559056586,2.6734148082900524,7854,10,4
7800,16,8.350203402203697,1.0530412383763448,2.642817290298477,1.5326977657067307,7854,10,4
7809,16,8.445404205816596,0.6246700902501207,1.5653286987508468,0.4290535946789126,7854,10,4
7810,16,8.449556695003478,0.6788961888834707,0.223112577716026,1.3092680377954273,7854,10,4
7815,16,8.542222389247364,1.1065143803658524,-2.113540563832776,2.2435418933452804,7854,10,4
7818,16,8.559034642277073,0.38051158726132117,0.049118308849206184,0.9147493716908631,7854,10,4
7822,16,8.612028859972941,0.3746453069982671,-2.0723633943366195,2.00472023479096,7854,10,4
7824,16,8.62743220748099,1.252275059007146,0.5546710616025783,1.4705245298100125,7854,10,4
7830,16,8.68162227325137,0.32816438829497463,-0.6614423170953929,2.074726909656863,7854,10,4
7831,16,8.683073415064511,0.7982133448599079,-0.9389576518257207,0.20220806425755009,7854,10,4
7835,16,8.724737380000164,0.5248483458984957,-3.061972790109323,1.1835130595987597,7854,10,4
7841,16,8.837257372124164,0.8898588609706173,2.4319877762684063,2.1858708512835583,7854,10,4
7844,16,8.927421333666436,0.2727820268697708,-1.5483581297779825,1.1349318418851124,7854,10,4
7847,16,9.048675069773564,0.5884422440387153,-2.077029571116529,0.8325701107838689,7854,10,4
7825,17,8.640779156118079,1.1442148842968725,2.560049479015304,1.3990462613348713,7854,10,4
7843,17,8.905219823216484,0.586359721405891,0.18555569367524563,0.874151113844278,7854,10,4
7846,17,9.034959190783496,0.9411290139584259,0.47954038579353964,1.4735586477415052,7854,10,4
7848,17,9.049873847572812,0.5168819713750088,0.03731626175995556,1.7839026348266305,7854,10,4
7849,17,9.183521630845771,0.6701633458408665,2.69097172337876,2.2226238942091423,7854,10,4
7850,17,9.222135016536608,0.7698366217482944,2.483462149381565,0.8590358442191739,7854,10,4
7851,17,9.25995718351028,0.16365905634098607,-1.8458353642035203,1.7400045879539285,7854,10,4
7852,17,9.267141712030863,0.6306613685721627,-2.6065061046473432,1.9136664119649585,7854,10,4
7853,17,9.271729267460136,0.42975238536758126,-2.5140270700786433,0.8668343511447453,7854,10,4
7854,17,9.314953262312923,0.5991646599810895,-1.7430454053109652,0.5484700689929471,7854,10,4
7855,18,10.0,0.0,0,0,7854,10,4
0,0,0.0,0.0,0,0,7854,10,4
1,1,0.6610392259213771,0.5008428915026888,-1.1046782357323432,2.8266577702871367,7854,10,4
2,1,0.7501710982546062,0.5337030068455048,0.040099798059006,0.7811028081953362,7854,10,4
3,1,0.861466746491516,0.2836765067136465,-1.8131022507350636,0.32557637236858816,7854,10,4
9,1,1.0961595506139943,0.9166110417787171,-2.6576836752672426,1.5250930622078196,7854,10,4
