element,level,t,r,theta,phi,Interval size
2450,10,0.6941840724469657,0.13546279065908215,1.6319661153985852,1.298445486247001,[2313]
2460,10,0.6984121565439138,0.17702749996578954,1.6228567096257651,1.7890063586181457,[2094 2227]
2482,10,0.708172917895383,0.26074777569017366,2.1145561110432864,1.9362790537471044,[2094 2139 2343]
2518,10,0.7269410756633542,0.09162246833848957,0.8333141371221247,0.8088708040401809,[2359 2399]
2527,10,0.7341542558486734,0.11456561172497248,1.5870111120376647,0.9486093397062404,[2200 2313]
2536,10,0.7381893988207537,0.10071237818941502,2.176834002250941,1.0167501088064241,[2200 2313]
2549,10,0.7503983885476833,0.10787216606576801,0.29205967977593056,0.6106569300194552,[2359 2393 2399 2433]
2563,10,0.7602106431780513,0.10454133923954938,1.297992585756142,2.0244954760912086,[2094 2227 2313 2341 2436]
2579,10,0.7857465197114145,0.037419483003523435,-2.6971526641809977,2.7105631789065177,[2408 2425 2436 2548]
2514,11,0.7228315227328184,0.16304547448139617,1.6811865149200689,1.7463841625169207,[2460]
2559,11,0.7574269330033495,0.2142972064632024,2.0989895770162734,1.8759319083331456,[2482]
2567,11,0.7720291871614942,0.19485951366072543,-2.6512971437952944,2.286445006566119,[2412]
2578,11,0.7808333781550832,0.09942804133190439,1.154625766800959,2.1078345127014764,[2563]
2582,11,0.7911310699295123,0.17120930107131613,1.39992450971489,0.9535035894912969,[2450]
2588,11,0.8019462059090515,0.11572132073654055,-0.20571130149182007,0.6327539568897483,[2518 2549]
2605,11,0.8352515501798807,0.10203650155338864,-0.9671871426348059,0.7088709812708882,[2518 2549]
2612,11,0.8670889737742766,0.03604910513427777,-0.01726363335081202,1.011683146699423,[2450 2518 2527 2536 2549 2579]
2592,12,0.8109618343202502,0.1860047576786213,-2.603940091415985,2.3603665917445245,[2567]
2596,12,0.8220588166193606,0.16842906843203723,1.4914918884986559,0.8825955492352151,[2582]
2603,12,0.8321588234309371,0.12295661596416599,0.7671118263333615,2.004469489991045,[2578]
2606,12,0.8392055378562094,0.1262804976657885,2.2111905064109423,1.3571620033165173,[2514]
2609,12,0.8466534838020078,0.12789317646909895,1.090677037008255,1.8433360475134744,[2514 2578]
2610,12,0.8644470298909032,0.12337582379512241,2.651667229477142,1.5769894977403875,[2514]
2611,12,0.8650708400816033,0.09377990641969418,0.00081497678997042,1.0588517169536897,[2588]
2615,12,0.8762829000868972,0.10240857733213656,2.8480086264668025,1.8045217367255544,[2514]
2616,12,0.8764951190283679,0.07756386309359363,0.13926356402327097,2.35404131054468,[2578]
2617,12,0.9061973908282295,0.0842279716806351,2.093034107621438,1.855892350580254,[2514 2559 2578]
2618,12,0.9296376273961905,0.03774856925793358,-0.7798245959358077,1.1312110985688137,[2514 2578 2588 2605 2612]
2619,13,1.0,0.0,0.0,0.0,[2592 2596 2603 2606 2609 2610 2611 2615 2616 2617 2618]
0,0,0.0,0.0,0.0,0.0,[]
3,1,0.10370045317092791,0.08362559927590024,-1.221029534787571,0.5928148917417528,[0]
23,1,0.14870435834209472,0.12964492811140974,-1.7425806331274052,0.9408360956312639,[0]
51,2,0.2083319215299324,0.13601604460238198,-1.7256063558332284,0.5579540873408575,[ 3 23]
89,3,0.23802671413487408,0.15188261605549383,-1.723100646092227,0.42387780703327654,[51]
176,4,0.2945188586336961,0.12664926264608325,-2.1928141876837386,0.5558423149625897,[89]
201,4,0.30404164282865154,0.1567324009470718,-1.7008129420649498,0.2557967354736938,[89]
361,5,0.36335086586536447,0.16301811448334305,-1.6053805463937456,0.2155224872995709,[176 201]
815,6,0.4464770629993091,0.15221624825841915,3.030308560683696,0.34676057155792206,[361]
1429,7,0.5107002894476331,0.11910599998250186,2.4474625584808476,0.3841106611751409,[815]
1501,8,0.5176440431629041,0.12310939549141013,2.5137757536060916,0.39132576888300885,[1429]
1969,9,0.5812133776754999,0.07650089269293861,-2.4676583249164596,0.152166930668744,[1501]
2132,10,0.6116488105160357,0.07963385158696093,-2.3331275531655895,0.5146383127906793,[1969]
2366,10,0.673747260899948,0.09959262166099901,-1.5994544508825783,1.0045641227221493,[1969]
2513,11,0.7361713815078805,0.08311782940413404,-2.3941775062712325,0.9627556152293992,[2132 2366]
2595,12,0.8171877326673976,0.021362760273280754,-1.2626345722300059,1.053652733207451,[2513]
2611,13,0.8587415916856936,0.017002601499560944,2.7736064229762447,2.045338184441525,[2595]
2618,14,0.9418849462053449,0.048222282685215105,-0.38792031906982444,1.8544830342369851,[2611]
2619,15,1.0,0.0,0.0,0.0,[2618]
0,0,0.0,0.0,0.0,0.0,[]
1,1,0.07758272766272278,0.07089091099383582,-1.4855217657633955,1.380947893953585,[0]
2,1,0.09599611513785267,0.051249744826882736,2.0777243393813722,0.4145668076485923,[0]
8,2,0.12986609773748858,0.058887412597256224,-1.644930273228677,0.7854898672921931,[1]
13,2,0.15311314382447183,0.05379390395307202,-1.4392334526337869,2.1207234866848883,[1]
16,2,0.16133895046562585,0.07354144023816499,2.3487841608373388,1.101302357631532,[2]
26,3,0.18195738753976864,0.09548968470589343,-1.408166491248642,1.0237333909292554,[8]
61,3,0.2292902444647389,0.10883126013574954,-1.5910792984564206,2.0268402296972567,[13]
111,3,0.26644366757929416,0.09960168426826146,2.2539449036251074,1.6431710757593252,[16]
159,4,0.29434186801742435,0.13538553569803513,-1.5397074773252069,1.6875672865742581,[26 61]
247,4,0.3281543288190656,0.0869017017631096,2.211103728552825,1.4960254787206662,[111]
279,5,0.34094969620099524,0.12542731420094322,-1.665812490804186,1.7570753028752897,[159]
329,5,0.3567115050042784,0.08588900699806078,2.028929678055826,1.536045469763399,[247]
422,6,0.3774943017979153,0.1291688449297087,-1.7681222813820523,1.772191324206269,[279]
468,6,0.3861893362000076,0.1625208908358079,-1.7723455949410476,1.8306236389419297,[279]
489,6,0.3892786430783385,0.10279761717459593,1.9167034771623834,1.4249913645743493,[329]
750,7,0.4283747562834729,0.17154052043818566,-1.788391293264739,1.6481412451542077,[422 468]
909,7,0.4524578298157794,0.0872668808015672,2.0639624257497533,1.0920821676808445,[489]
