element,level,t,r,theta,phi,Interval size,Height,D
1299,7,3.188166636014315,1.336375888466318,1.1950980593320537,0.8827750834991058,15708,10,4
1509,7,3.322052950049519,1.3377368268328684,-1.047692054538495,2.481720405020475,15708,10,4
1514,7,3.3241410880810607,1.7539213202226072,1.0236365447597402,0.7150021689430507,15708,10,4
1668,7,3.4000912643405776,1.3226734655305534,1.1950430497255744,0.5916414454327078,15708,10,4
1770,7,3.4500148859934,1.1011420360731226,2.58301355251069,1.1013842583243436,15708,10,4
1785,7,3.4575700395661944,1.7708359654542498,1.0032213084726849,0.847551093657239,15708,10,4
1857,7,3.497128396891652,1.2773815082822846,2.757697931012396,1.868145198655097,15708,10,4
1935,7,3.5368119332244707,1.0025573043251772,-2.9740229070704745,2.0720104161942765,15708,10,4
2000,7,3.5632681872652094,1.378787900955116,1.3679149613667378,0.33715121926608393,15708,10,4
2059,7,3.585983647730111,0.7652408608477419,-2.054259113900473,2.0398692142614587,15708,10,4
2081,7,3.593524975914284,1.0327862853675314,0.4624652080901552,0.5548686118239591,15708,10,4
2135,7,3.6189400339363207,0.47021670868161564,2.5203517433698943,0.7954731415676288,15708,10,4
2183,7,3.6391515019739993,1.3743323703236643,2.9982619778276534,1.554306070995971,15708,10,4
2275,7,3.688135469824113,1.2881690032660011,2.686006491825397,1.4724273873097982,15708,10,4
2369,7,3.7254344523125047,1.663100953362322,0.8338257371819731,0.44141835520978806,15708,10,4
2374,7,3.7262911079935215,0.9260421120166644,-2.3215657380172696,1.2326177320000635,15708,10,4
1914,8,3.5283002172169353,1.3413452643351151,-1.1476091217890725,2.429573912958463,15708,10,4
1967,8,3.5494954189701344,1.0485879688590325,2.0329448175038096,1.8962487419041834,15708,10,4
2056,8,3.584668807247029,1.5325329437020438,1.211300373921475,1.0900129285184563,15708,10,4
2231,8,3.6644236572668976,1.786608775096895,0.9048165561559627,0.8193370018690238,15708,10,4
2562,8,3.8143408897519016,1.0130398985547113,-3.0149295582762967,1.9701595936000746,15708,10,4
2745,8,3.880310201450241,1.2686436084714738,2.5505007773939052,1.418774022551675,15708,10,4
2779,8,3.8925533531487244,1.5265335085020837,2.9281747711430706,1.6052444295863375,15708,10,4
2948,8,3.9392683745489343,1.234609663847461,0.40702175723432066,0.685495715119526,15708,10,4
3022,8,3.961518320755161,1.5863900195728942,1.0212590165350284,0.5107420894336222,15708,10,4
3057,8,3.974145882383946,0.8483343165916898,-2.1587622435210685,1.6481510854663701,15708,10,4
3068,8,3.977035634299677,1.3889701400090881,2.920293593252342,1.7290628207378944,15708,10,4
3072,8,3.977851412878992,0.9970342756839167,2.936888073481734,1.257104837083427,15708,10,4
3177,8,4.011766392623553,0.5656659857324243,2.491376403388022,1.0873259008368608,15708,10,4
3212,8,4.017621644144401,0.963200303488812,2.5130403727223527,1.4377914680849377,15708,10,4
3488,8,4.101126593200877,1.049874839691208,-2.6178185036499553,1.3108207275718475,15708,10,4
3200,9,4.016465502146437,1.3218613426869126,1.0668734709648302,0.9546189377446684,15708,10,4
3485,9,4.100626488628237,1.1193521392999737,-0.8488651317809416,2.084146854410705,15708,10,4
3622,9,4.140327097459622,0.9552787407089021,-1.5205983891822092,2.2748249613027642,15708,10,4
4040,9,4.253199309350268,1.4577024969088868,2.799163540086874,1.6371649216270379,15708,10,4
4048,9,4.2549218964660795,0.8546010193215702,-2.0252897596850548,1.5149796524406907,15708,10,4
4058,9,4.2565649124955796,1.5331417843380384,2.598183594379371,1.5290940210752952,15708,10,4
4123,9,4.273803417279586,1.3960508531460258,2.7646749608726258,1.3858814881976251,15708,10,4
4180,9,4.290946812766386,1.3705800619045623,-1.1819011309734033,2.4892615206224913,15708,10,4
4246,9,4.305353243640368,0.894832084187589,2.6842895642501516,1.7295389107456107,15708,10,4
4325,9,4.325724343924503,0.6856733627680771,-2.5993041829674217,2.225992867569908,15708,10,4
4430,9,4.34689967760379,0.7779346144613418,2.846334852012968,1.0781425055388152,15708,10,4
4448,9,4.350156503295933,0.9613850250009491,2.831696392604982,1.5762644746111014,15708,10,4
4630,9,4.39758760848585,0.7642152102343661,-2.3587152422857884,1.2719384792219617,15708,10,4
4783,9,4.434528696972074,1.1731986282357196,-2.6175766473733533,1.2631539028361225,15708,10,4
4825,9,4.443046384797676,1.3259196115323084,-1.4321593827846715,1.8256354359552849,15708,10,4
4867,9,4.453307644670886,0.7753720002976956,-2.7653224794589604,1.4645456302006472,15708,10,4
5064,9,4.493283944990005,0.9341487635802369,-1.776590223957679,1.24279197398496,15708,10,4
5092,9,4.499589276808966,1.4556867517607355,0.8812760378465755,0.5799509977836088,15708,10,4
5346,10,4.553178891812416,1.2610780345009305,2.763451890808536,1.3989081518818172,15708,10,4
5697,10,4.630508606247483,1.091098188163204,2.8262730063838815,1.6312060751605926,15708,10,4
5768,10,4.644332309610557,1.5140479252659875,2.8146260071326483,1.4673163993920288,15708,10,4
5951,10,4.680252333382652,1.2979343927347278,-1.4106548091742581,2.069284427577059,15708,10,4
6067,10,4.703638210292727,0.7172627370059103,-1.0453804367293595,2.463949496089167,15708,10,4
6223,10,4.733946979755281,0.945439015234898,-2.802840870469964,2.5514217078479624,15708,10,4
6228,10,4.734568703674901,0.8630617527604751,-1.0841694158932174,2.2464867176315866,15708,10,4
6230,10,4.734909852727229,1.1080146684555934,-2.4590922380735174,1.2183155867424253,15708,10,4
6455,10,4.7769723176888155,0.7918938006911554,-3.0236037106483065,1.2168642969281345,15708,10,4
6805,10,4.840924158044472,1.301745713882789,1.2472412258734977,0.6305882510684805,15708,10,4
7280,10,4.927640789110358,0.7957920446916563,-1.8980854951108053,0.9322488770257215,15708,10,4
7367,10,4.940447191326806,1.0795399032240556,-1.9008918502802674,2.4118420589034715,15708,10,4
7485,10,4.963084859610359,0.9768037144290105,-1.3663560043218845,1.9920185755786879,15708,10,4
