element,level,t,r,theta,phi
13950,13,0.5095189543801667,0.08919686459196505,-1.6906628922473423,2.4661201454651858
13978,13,0.5097209052360742,0.10506497892659394,-1.52685589931128,0.598896438354139
14309,13,0.5128592012130847,0.10385322437607576,-2.864970807078098,1.6498692510097366
14365,13,0.5134613912779036,0.14835642068091381,2.0937630659816686,2.5051924985342655
14464,13,0.5145232385638129,0.07203018106614621,2.8828034773839417,2.762599269423534
14780,13,0.517784481621351,0.13414672932979954,1.641439884129478,2.4975566039405055
15212,13,0.5223473173510614,0.11986925878511098,2.9051240064685566,2.5465532039485543
15322,13,0.5236842724451489,0.07063591750955152,-2.497102597905401,1.4251085559456076
15325,13,0.5237008891082463,0.14494989468705924,-1.8940979767327832,1.3480336078454194
15505,13,0.525425851634855,0.08256485386500914,-2.0211071798948983,0.9328371086103789
15517,13,0.5255202050338864,0.09355804805107616,-2.676123916494089,1.9027565774642428
16170,13,0.5332267300134715,0.07672499184556714,-0.6670914573097456,3.057748653085725
16199,13,0.5336040297280552,0.09252543596628068,-2.0030364198787045,0.8122963715607122
16306,13,0.5349489476438276,0.08924549369017115,-2.3125441742931336,2.9463943978454465
16322,13,0.5351357800472538,0.09682330734296792,-2.602333154722365,2.2309049954947895
16352,13,0.5354967024535027,0.12014853448910252,-1.0705977892180183,1.149831332919063
16479,13,0.5369994412004433,0.10751393972359032,-1.8730656634894922,1.7827680765343787
16557,13,0.5379620489091813,0.13922632953439573,-2.192359373723781,2.3192481110967256
16582,13,0.5381747576684358,0.1131447507513033,2.7017743014889737,2.4409759907261033
16634,13,0.5387910506254039,0.13314375367189568,2.5380714550939953,2.213346112571321
16695,13,0.5396965188934545,0.19048171289081572,1.8831355993526486,2.638042007265071
16795,13,0.540831583417991,0.12409759646536274,-2.3479475274293122,2.026929844869985
17036,13,0.5439933774588089,0.13937410212062934,-1.7970904083303554,2.0480759831051394
17701,13,0.5521616584857575,0.17519551546743142,1.7309935464778798,2.7218935078756874
16452,14,0.5367135883810619,0.04403797041474217,1.6443680678359296,1.2809765997166895
16578,14,0.5381350912045664,0.13720347379994685,2.9514819432912653,2.1141945337166823
16597,14,0.5382612220477151,0.04666944045763353,0.5557875598345524,2.051524425733151
16783,14,0.540672736323465,0.14771631701371402,2.611645929181917,1.7679498519807593
16809,14,0.5409274324308899,0.06436903136328674,-0.331420701054544,1.1848874564571241
16842,14,0.5414219775500714,0.04846153948987205,-1.4275721166045303,0.9847009566526481
16942,14,0.5427616924025804,0.1066170396274705,-2.755063826829722,1.7488445215895247
16971,14,0.543153563225196,0.04482690419557365,-2.780691716934737,1.397602788966919
17083,14,0.5444380880911484,0.09243978335578516,-1.7116981964843185,0.7216757397985625
17248,14,0.5464269866133531,0.15734564954651273,2.011998695374983,2.316020868485351
17289,14,0.5471148956153076,0.05685628551584629,-1.7351276957088098,1.1537424927808546
17436,14,0.5488977858299037,0.08655357236685456,-2.067586024717362,0.9112401445299021
17686,14,0.5519979993881217,0.0917847440582135,-2.125382311057957,0.31557748330438634
17878,14,0.5543992668540936,0.08527882954730635,-2.0245287162767993,1.039098708458749
17953,14,0.5553901652874256,0.062002258594070644,3.005054129206259,1.176315106902179
18018,14,0.5563279724830917,0.08801330119273897,1.8774386691991256,3.086958766396458
18023,14,0.5564727896232294,0.10875795722397001,-2.9096238363136053,2.311192681386226
18205,14,0.559111566801605,0.11286160543788624,-1.0905028090532347,1.3410280677069644
18271,14,0.5599830359665529,0.09439820411697102,-0.9626789303353789,1.1843496683309918
18345,14,0.5609654336057532,0.07905255503892436,-2.2474085011897764,1.2690334269405676
18536,14,0.5634975661531506,0.14348367399565246,-1.835934156019559,2.014632058515902
18553,14,0.5637153731671806,0.1297152857405466,2.66623051411948,2.3470120157635495
19282,14,0.5746149454993832,0.12951912027109297,3.083864883819583,2.502568533744721
19647,14,0.5801345140356087,0.12486383877324002,-1.7893122366649044,1.4945433206034866
19689,14,0.5806483224632006,0.09123988333880548,0.28989798551862145,1.600879223108745
19776,14,0.5818939161786889,0.17041740082040005,1.6640497890573842,2.7979582816423516
19805,14,0.5826154585639827,0.14747504711420853,-2.1369849889532446,1.520239025664984
19844,14,0.5832224222580985,0.11871626384497823,-2.219341986285734,2.057039265615156
18776,15,0.5671968620398163,0.0719721322595776,-0.30874192223393493,1.0129327740680947
18881,15,0.568695059878465,0.1315533882470458,2.7244650457345383,1.6929500674274889
18979,15,0.5699521421343312,0.08947873067201158,-1.6739285555360706,0.32293568048620397
19196,15,0.5732482180444181,0.04871569178235157,2.1753171393526802,0.6205668895691514
19268,15,0.5743965183036701,0.08847422097668041,-2.262002380067287,0.4651426624812651
19502,15,0.5776720154242692,0.13681584036027364,1.894239262738802,2.3677914393804733
19557,15,0.5785758853989657,0.041117236821192386,-1.8353007234165002,1.5538422518489658
19577,15,0.5790468856371178,0.057288755985337676,-3.0352988503651868,1.3032216393340956
19643,15,0.5800804397243927,0.1373012958183886,2.9004179109013735,2.006521874980121
19688,15,0.5806409740032424,0.08841954763190148,-2.463456414156863,0.12020573222233419
19697,15,0.5806980778993567,0.06811641453406665,-0.11925357582057952,1.9747024567072315
19721,15,0.5811461733341214,0.08135807007350195,-1.1836141223617356,0.49477588189311006
19839,15,0.5831317745973411,0.03854979744618472,-0.4861982158748966,2.267358185385481
20059,15,0.5870840349109446,0.10152315667690782,-0.4284953020984894,1.267428590121039
20271,15,0.5904902209409475,0.04417542982930607,-1.3308357014048124,1.5552647622043478
20309,15,0.5910844196419957,0.14750619729291914,2.7908127291519844,2.411688190646587
20324,15,0.5912825101567181,0.018633628243860834,-0.0462651007614759,1.9339002889687613
20422,15,0.5931213685855471,0.09288400006615129,0.3064849788660176,1.5701799540319628
20461,15,0.5938581019448793,0.1157139006009937,2.9478475523830903,2.385473103609469
20495,15,0.5944094739293545,0.059982974015850996,-1.9157855145403748,1.1385340585248138
20528,15,0.5949762634893397,0.08408206317555898,2.786330603308434,1.2225238676777623
20567,15,0.5958198585450678,0.10002866624029795,-1.0303652176708535,0.755618256857691
20574,15,0.5958913390710812,0.14561655573760138,2.9958357769650967,2.5766777375658023
20627,15,0.5968299631012303,0.07359730615384985,-0.8296195791426503,1.2206865859268337
20636,15,0.5971427124523297,0.05941657908127948,-1.7774860431519004,1.4271360379469356
20705,15,0.5983750564179896,0.08716236585753616,-2.6176213852920047,1.5511144708723963
